chemist_id,name,n_molecules,n_papers,style_score,acc1,top5,top10,logloss_bits,style_bits
0,"Nelson, Rowan",130,2,0.4031,0.2088,0.2846,0.3119,6.462,4.363
1,"Young, Harper",45,0,0.6473,0.3149,0.4444,0.4931,3.819,7.007
2,"Rodriguez, Emerson",125,1,0.3743,0.1591,0.2291,0.2542,6.773,4.052
3,"Green, Casey",99,1,0.3346,0.1371,0.1991,0.2212,7.204,3.622
4,"Kim, Avery",96,2,0.2932,0.1287,0.1826,0.2017,7.652,3.174
5,"Martin, Harper",105,0,0.8312,0.4838,0.6618,0.7325,1.827,8.998
6,"Adams, Alex",134,0,0.6597,0.3616,0.4941,0.5441,3.684,7.142
7,"Kumar, Sage",33,0,0.2201,0.0627,0.1026,0.1166,8.443,2.383
8,"Garcia, Emerson",206,0,0.601,0.3339,0.4525,0.4967,4.319,6.507
9,"Garcia, Quinn",93,0,0.5291,0.3081,0.4105,0.4482,5.098,5.728
10,"Scott, Avery",65,1,0.5294,0.276,0.3785,0.4161,5.094,5.731
11,"Lopez, Morgan",80,1,0.1581,0.0523,0.0807,0.0906,9.114,1.711
12,"Hall, Morgan",42,0,0.4642,0.2409,0.3294,0.3616,5.801,5.025
13,"Carter, Bailey",155,1,0.8741,0.5273,0.7187,0.7962,1.363,9.463
14,"Kumar, Logan",25,1,0.7916,0.4406,0.6072,0.6724,2.256,8.57
15,"Rodriguez, Hayden",61,0,0.5421,0.2779,0.3832,0.422,4.958,5.868
16,"Miller, Cameron",128,0,0.2889,0.0931,0.1462,0.165,7.698,3.128
17,"Scott, Emerson",186,0,0.5381,0.274,0.3784,0.4168,5.001,5.825
18,"Hall, Rowan",122,2,0.692,0.3755,0.5159,0.5693,3.334,7.492
19,"Lopez, Cameron",206,1,0.2115,0.1069,0.1452,0.1586,8.536,2.29
20,"Singh, Casey",204,1,0.6396,0.3291,0.4568,0.5047,3.902,6.924
21,"Green, Riley",115,0,0.7773,0.4779,0.6405,0.7039,2.411,8.415
22,"Green, Rowan",55,1,0.6449,0.34,0.4689,0.5174,3.844,6.981
23,"Garcia, Alex",59,0,0.3314,0.1433,0.2047,0.2266,7.238,3.588
24,"Singh, Alex",163,1,0.8702,0.5177,0.7078,0.7846,1.406,9.42
25,"Nguyen, Logan",60,1,0.5378,0.2425,0.3469,0.3853,5.003,5.822
26,"Carter, Quinn",25,0,0.523,0.2308,0.3319,0.369,5.164,5.661
27,"Scott, Drew",126,0,0.2623,0.1018,0.1498,0.1667,7.986,2.839
28,"Scott, Rowan",362,1,0.7528,0.4196,0.5757,0.636,2.676,8.15
29,"Singh, Logan",84,0,0.801,0.4601,0.6293,0.6958,2.154,8.671
30,"Brown, Quinn",282,0,0.2563,0.1373,0.1841,0.2006,8.051,2.774
31,"Chen, Casey",76,0,0.2514,0.1028,0.1487,0.1648,8.104,2.721
32,"Carter, Alex",25,0,0.5584,0.2904,0.3993,0.4396,4.78,6.045
33,"Patel, Riley",88,0,0.7032,0.3621,0.5053,0.5599,3.213,7.613
34,"Carter, Peyton",146,1,0.2725,0.1088,0.1587,0.1764,7.876,2.95
35,"Baker, Casey",50,0,0.6678,0.3585,0.4929,0.5437,3.597,7.229
36,"Hall, Reese",53,1,0.8243,0.4757,0.6517,0.7214,1.902,8.924
37,"Kumar, Alex",170,0,0.3824,0.1456,0.2172,0.2429,6.686,4.139
38,"Lewis, Sage",250,3,0.8144,0.4796,0.6527,0.721,2.009,8.816
39,"Walker, Riley",81,1,0.7415,0.3935,0.5466,0.6056,2.798,8.028
40,"Davis, Morgan",220,1,0.8741,0.5091,0.7005,0.7779,1.363,9.462
41,"Nelson, Harper",102,0,0.95,0.5657,0.785,0.8782,0.541,10.284
42,"Khan, Logan",87,0,0.5138,0.2862,0.3853,0.4217,5.263,5.563
43,"Nelson, Sage",73,0,0.6792,0.3592,0.4964,0.5484,3.473,7.353
44,"Kim, Skyler",216,1,0.459,0.2102,0.2976,0.3293,5.857,4.969
45,"Kumar, Jordan",166,5,0.4449,0.1728,0.2573,0.2879,6.009,4.817
46,"Brown, Logan",90,0,0.7137,0.3868,0.5326,0.5884,3.099,7.726
47,"Hall, Logan",52,0,0.604,0.3273,0.4466,0.4911,4.287,6.539
48,"Lewis, Harper",62,0,0.4185,0.1658,0.2447,0.2732,6.295,4.53
49,"Young, Reese",60,0,0.6937,0.339,0.4798,0.5334,3.316,7.51
50,"Walker, Hayden",47,1,0.5594,0.3017,0.4108,0.4512,4.77,6.056
51,"Garcia, Jordan",83,1,0.4186,0.2197,0.2987,0.3272,6.294,4.532
52,"Walker, Reese",74,1,0.7913,0.4403,0.6069,0.6721,2.259,8.567
53,"Rodriguez, Avery",25,0,0.56,0.2676,0.3769,0.4173,4.764,6.062
54,"Smith, Riley",25,0,0.3143,0.1369,0.1949,0.2156,7.424,3.402
55,"Chen, Sage",99,1,0.3436,0.1737,0.2375,0.2603,7.106,3.72
56,"Wang, Reese",116,0,0.5243,0.2597,0.3611,0.3983,5.15,5.676
57,"Rodriguez, Cameron",141,1,0.6157,0.3056,0.4276,0.4732,4.16,6.665
58,"Chen, Hayden",61,0,0.339,0.1406,0.2035,0.2259,7.156,3.67
59,"Singh, Rowan",99,0,0.5146,0.2739,0.3731,0.4095,5.255,5.571
60,"Davis, Peyton",54,0,0.4078,0.1791,0.2559,0.2835,6.411,4.415
61,"Nelson, Riley",102,0,0.3148,0.1364,0.1946,0.2152,7.418,3.408
62,"Davis, Bailey",78,2,0.6788,0.368,0.5052,0.5571,3.477,7.349
63,"Lopez, Casey",88,0,0.6068,0.2865,0.4065,0.4512,4.256,6.569
64,"Kim, Bailey",185,0,0.7226,0.3948,0.5429,0.5997,3.003,7.823
65,"Scott, Jordan",34,0,0.5255,0.238,0.3397,0.377,5.137,5.689
66,"Wang, Cameron",77,0,0.374,0.1997,0.2696,0.2947,6.777,4.049
67,"Nelson, Casey",34,1,0.5171,0.2446,0.3444,0.381,5.228,5.598
68,"Lee, Peyton",25,0,0.5379,0.2667,0.3711,0.4095,5.002,5.823
69,"Lee, Avery",70,1,0.2725,0.1162,0.1661,0.1838,7.876,2.95
70,"Kumar, Harper",186,0,0.8229,0.4819,0.6574,0.7269,1.917,8.908
71,"Patel, Peyton",43,2,0.3463,0.1937,0.2581,0.2811,7.076,3.749
72,"Miller, Taylor",119,1,0.2898,0.0958,0.149,0.1679,7.688,3.137
73,"Green, Sage",25,0,0.2175,0.0609,0.1003,0.1142,8.471,2.355
74,"Kumar, Drew",32,1,0.541,0.2587,0.3637,0.4024,4.969,5.856
75,"Lewis, Drew",184,5,0.7228,0.3856,0.5338,0.5906,3.001,7.824
76,"Nelson, Hayden",61,0,0.694,0.3569,0.4978,0.5514,3.313,7.513
77,"Martin, Taylor",63,1,0.9044,0.5177,0.7193,0.8022,1.035,9.79
78,"Davis, Riley",45,0,0.4909,0.2591,0.3532,0.3876,5.511,5.315
79,"Allen, Drew",52,1,0.8522,0.4572,0.6417,0.7155,1.6,9.226
